id|did|pid|name_np|name_en|tfr|tpr|created_at|updated_at
1|taplejung|1|ताप्लेजुङ|Taplejung|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
2|panchthar|1|पाँचथर|Panchthar|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
3|illam|1|इलाम|Illam|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
4|jhapa|1|झापा|Jhapa|5|10|2022-09-14 18:53:45|2022-09-14 18:53:45
5|morang|1|मोरङ|Morang|6|12|2022-09-14 18:53:45|2022-09-14 18:53:45
6|sunsari|1|सुनसरी|Sunsari|4|8|2022-09-14 18:53:45|2022-09-14 18:53:45
7|dhankuta|1|धनकुटा|Dhankuta|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
8|sankhuwasabha|1|संखुवासभा|Sankhuwasabha|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
9|bhojpur|1|भोजपुर|Bhojpur|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
10|terhathum|1|तेह्रथुम|Terhathum|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
11|okhaldhunga|1|ओखलढुंगा|Okhaldhunga|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
12|khotang|1|खोटाङ|Khotang|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
13|solukhumbu|1|सोलुखुम्बु|Solukhumbu|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
14|udayapur|1|उदयपुर|Udayapur|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
15|saptari|2|सप्तरी|Saptari|4|8|2022-09-14 18:53:45|2022-09-14 18:53:45
16|siraha|2|सिराहा|Siraha|4|8|2022-09-14 18:53:45|2022-09-14 18:53:45
17|dhanusa|2|धनुषा|Dhanusa|4|8|2022-09-14 18:53:45|2022-09-14 18:53:45
18|mahottari|2|महोत्तरी|Mahottari|4|8|2022-09-14 18:53:45|2022-09-14 18:53:45
19|sarlahi|2|सर्लाही|Sarlahi|4|8|2022-09-14 18:53:45|2022-09-14 18:53:45
20|rauthat|2|रौतहट|Rauthat|4|8|2022-09-14 18:53:45|2022-09-14 18:53:45
21|bara|2|वारा|Bara|4|8|2022-09-14 18:53:45|2022-09-14 18:53:45
22|parsa|2|पर्सा|Parsa|4|8|2022-09-14 18:53:45|2022-09-14 18:53:45
23|sindhuli|3|सिन्धुली|Sindhuli|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
24|ramechhap|3|रामेछाप|Ramechhap|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
25|dolakha|3|दोलखा|Dolkha|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
26|sindhupalchowk|3|सिन्धुपाल्चोक|Sindhupalchowk|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
27|kavrepalanchowk|3|काभ्रेपलान्चोक|Kavrepalanchowk|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
28|lalitpur|3|ललितपुर|Lalitpur|3|6|2022-09-14 18:53:45|2022-09-14 18:53:45
29|bhaktapur|3|भक्तपुर|Bhaktapur|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
30|kathmandu|3|काठमाण्डौ|Kathmandu|10|20|2022-09-14 18:53:45|2022-09-14 18:53:45
31|nuwakot|3|नुवाकोट|Nuwakot|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
32|rasuwa|3|रसुवा|Rasuwa|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
33|dhading|3|धादिङ|Dhading|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
34|makwanpur|3|मकवानपुर|Makwanpur|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
35|chitwan|3|चितवन|Chitwan|3|6|2022-09-14 18:53:45|2022-09-14 18:53:45
36|gorkha|4|गोरखा|Gorkha|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
37|lamjung|4|लमजुङ|Lamjung|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
38|tanahun|4|तनहुँ|Tanahun|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
39|syangja|4|स्याङजा|Syangja|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
40|kaski|4|कास्की|Kaski|3|6|2022-09-14 18:53:45|2022-09-14 18:53:45
41|manang|4|मनाङ|Manang|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
42|mustang|4|मुस्ताङ|Mustang|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
43|parbat|4|पर्वत|Parbat|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
44|myagdi|4|म्याग्दी|Myagdi|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
45|baglung|4|वाग्लुङ|Baglung|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
46|nawalparasieast|4|नवलपरासी पूर्व|Nawalparasi East|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
47|gulmi|5|गुल्मी|Gulmi|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
48|palpa|5|पाल्पा|Palpa|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
49|rupandehi|5|रुपन्देही|Rupandehi|5|10|2022-09-14 18:53:45|2022-09-14 18:53:45
50|arghakhanchi|5|अर्घाखाँची|Arghakhanchi|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
51|kapilvastu|5|कपिलवस्तु|Kapilvastu|3|6|2022-09-14 18:53:45|2022-09-14 18:53:45
52|pyuthan|5|प्यूठान|Pyuthan|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
53|rolpa|5|रोल्पा|Rolpa|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
54|dang|5|दाङ|Dang|3|6|2022-09-14 18:53:45|2022-09-14 18:53:45
55|bardiya|5|बर्दिया|Bardiya|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
56|banke|5|बाँके|Banke|3|6|2022-09-14 18:53:45|2022-09-14 18:53:45
57|nawalparasiwest|5|नवलपरासी पश्चिम|Nawalparasi West|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
58|rukumeast|5|रुकुम पूर्व|Rukum East|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
59|rukumwest|6|रुकुम पश्चिम|Rukum West|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
60|salyan|6|सल्यान|Salyan|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
61|surkhet|6|सुर्खेत|Surkhet|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
62|dailekh|6|दैलेख|Dailekh|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
63|jajarkot|6|जाजरकोट|Jajarkot|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
64|dolpa|6|डोल्पा|Dolpa|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
65|humla|6|हुम्ला|Humla|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
66|kalikot|6|कालिकोट|Kalikot|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
67|mugu|6|मुगू|Mugu|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
68|jumla|6|जुम्ला|Jumla|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
69|bajura|7|बाजुरा|Bajura|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
70|bajhang|7|बझाङ|Bajhang|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
71|achham|7|अछाम|Achham|2|4|2022-09-14 18:53:45|2022-09-14 18:53:45
72|doti|7|डोटी|Doti|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
73|kailali|7|कैलाली|Kailali|5|10|2022-09-14 18:53:45|2022-09-14 18:53:45
74|kanchanpur|7|कंचनपुर|Kanchanpur|3|6|2022-09-14 18:53:45|2022-09-14 18:53:45
75|dadeldhura|7|डडेल्धुरा|Dadeldhura|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
76|baitadi|7|बैतडी|Baitadi|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
77|darchula|7|दार्चुला|Darchula|1|2|2022-09-14 18:53:45|2022-09-14 18:53:45
