id|pid|code|name_np|name_en|short_np|short_en|color|symbol|created_at|updated_at
1|0|O|अन्य|Other|अन्य|Other|#123456||2022-09-14 19:54:19|2022-09-14 19:54:19
2|1|CPNUML|नेपाल कम्युनिष्ट पार्टी (एमाले)|Communist Party of Nepal (Unified Marxist–Leninist)|एमाले|CPN UML|#990000||2022-09-14 19:54:19|2022-09-14 19:54:19
3|2|NC|नेपाली काँग्रेस|Nepali Congress|काँग्रेस|Congress|#005500||2022-09-14 19:54:19|2022-09-14 19:54:19
4|3|CPNMC|नेपाल कमयुनिस्ट पार्टी (माओवादी-केन्द्र)|Communist Party of Nepal (Maoist Centre)|माओवादी-केन्द्र|Maoist|#770000||2022-09-14 19:54:19|2022-09-14 19:54:19
5|4|CPNUS|नेपाल कम्युनिस्ट पार्टी (एकीकृत समाजवादी)|Communist Party of Nepal (Unified Socialist)|एकीकृत समाजवादी|Unified Socialist|#330000||2022-09-14 19:54:19|2022-09-14 19:54:19
6|5|PSPN|जनता समाजवादी पार्टी, नेपाल|People's Socialist Party, Nepal|जसपा|JaSaPa|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
7|6|DSPN|लोकतान्त्रिक समाजवादी पार्टी|Democratic Socialist Party, Nepal|लोसपा|LoSaPa|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
8|7|SPN|नेपाल समाजवादी पार्टी|Socialist Party of Nepal |नेपाल समाजवादी पार्टी|Socialist Party of Nepal |#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
9|8|NDP|राष्ट्रिय प्रजातन्त्र पार्टी|National Democratic Party|राष्ट्रिय प्रजातन्त्र पार्टी|National Democratic Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
10|9|NWPP|नेपाल मजदुर किसान पार्टी|Nepal Workers Peasants Party|नेपाल मजदुर किसान पार्टी|Nepal Workers Peasants Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
11|10|NPF|राष्ट्रिय जनमोर्चा|National People's Front|राष्ट्रिय जनमोर्चा|National People's Front|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
12|11|PPP|जनता प्रगतिशील पार्टी|People's Progressive Party|जनता प्रगतिशील पार्टी|People's Progressive Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
13|12|BSS|विवेकशील साझा पार्टी|Bibeksheel Sajha Party|विवेकशील साझा पार्टी|Bibeksheel Sajha Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
14|13|CPNML|नेकपा माले|Communist Party of Nepal (Marxist–Leninist) |नेकपा माले|Communist Party of Nepal (Marxist–Leninist) |#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
15|14|MNO|मंगोल नेशनल अर्गनाइजेसन|Mongol National Organisation|मंगोल नेशनल अर्गनाइजेसन|Mongol National Organisation|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
16|15|KKCP|किरात खम्बुवान साझा पार्टी|Kirat Khumbuwan Common Party|किरात खम्बुवान साझा पार्टी|Kirat Khumbuwan Common Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
17|16|ADP|उन्‍नत लोकतन्त्र पार्टी|Advance Democratic Party|उन्‍नत लोकतन्त्र पार्टी|Advance Democratic Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
18|17|ND|नेपाल लोकतान्त्रिक पार्टी|Nepal Democratic Party|नेपाल लोकतान्त्रिक पार्टी|Nepal Democratic Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
19|18|POP|जनमत पार्टी|Public Opinion Party|जनमत पार्टी|Public Opinion Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
20|19|NCP_UML|मौलिक जरोकिलो पार्टी|Maulik Jarokilo Party|मौलिक जरोकिलो पार्टी|Maulik Jarokilo Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
21|20|TDP|तामाङसालिङ लोकतान्त्रिक पार्टी|Tamangsaling Democratic Party|तामाङसालिङ लोकतान्त्रिक पार्टी|Tamangsaling Democratic Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
22|21|JPN|जनजागरण पार्टी नेपाल|Janajagaran Party Nepal|जनजागरण पार्टी नेपाल|Janajagaran Party Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
23|22|NCP|राष्ट्रिय नागरिक पार्टी|National Citizen Party|राष्ट्रिय नागरिक पार्टी|National Citizen Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
24|23|NEPANP|नेपाः राष्ट्रिय पार्टी|NEPA: National Party|नेपाः राष्ट्रिय पार्टी|NEPA: National Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
25|24|CPNN|नेकपा राष्ट्रवादी|CPN Nationalist|नेकपा राष्ट्रवादी|CPN Nationalist|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
26|25|NRPN|राष्ट्रिय यथार्थवादी पार्टी, नेपाल|National Realist Party, Nepal|राष्ट्रिय यथार्थवादी पार्टी, नेपाल|National Realist Party, Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
27|26|NPP|नेश्नलिष्ट पिपल्स पार्टी|Nationalist Peoples Party|नेश्नलिष्ट पिपल्स पार्टी|Nationalist Peoples Party|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
28|27|DPN|प्रजातान्त्रिक पार्टी नेपाल|Democratic Party Nepal|प्रजातान्त्रिक पार्टी नेपाल|Democratic Party Nepal|#FF0000||2022-09-14 19:54:19|2022-09-14 19:54:19
