id|rid|did|pid|rtype|name_np|name_en|created_at|updated_at
1|1|taplejung|1|federal|१|1|2022-09-14 19:10:58|2022-09-14 19:10:58
2|1.1|taplejung|1|provincial|१(क)|1.1|2022-09-14 19:10:58|2022-09-14 19:10:58
3|1.2|taplejung|1|provincial|१(ख)|1.2|2022-09-14 19:10:58|2022-09-14 19:10:58
4|1|panchthar|1|federal|१|1|2022-09-14 19:10:58|2022-09-14 19:10:58
5|1.1|panchthar|1|provincial|१(क)|1.1|2022-09-14 19:10:58|2022-09-14 19:10:58
6|1.2|panchthar|1|provincial|१(ख)|1.2|2022-09-14 19:10:58|2022-09-14 19:10:58
7|1|illam|1|federal|१|1|2022-09-14 19:10:58|2022-09-14 19:10:58
8|2|illam|1|federal|२|2|2022-09-14 19:10:58|2022-09-14 19:10:58
9|1.1|illam|1|provincial|१(क)|1.1|2022-09-14 19:10:58|2022-09-14 19:10:58
10|1.2|illam|1|provincial|१(ख)|1.2|2022-09-14 19:10:58|2022-09-14 19:10:58
11|2.1|illam|1|provincial|२(क)|2.1|2022-09-14 19:10:58|2022-09-14 19:10:58
12|2.2|illam|1|provincial|२(ख)|2.2|2022-09-14 19:10:58|2022-09-14 19:10:58
13|1|jhapa|1|federal|१|1|2022-09-14 19:10:58|2022-09-14 19:10:58
14|2|jhapa|1|federal|२|2|2022-09-14 19:10:58|2022-09-14 19:10:58
15|3|jhapa|1|federal|३|3|2022-09-14 19:10:58|2022-09-14 19:10:58
16|4|jhapa|1|federal|४|4|2022-09-14 19:10:58|2022-09-14 19:10:58
17|5|jhapa|1|federal|५|5|2022-09-14 19:10:58|2022-09-14 19:10:58
18|1.1|jhapa|1|provincial|१(क)|1.1|2022-09-14 19:10:58|2022-09-14 19:10:58
19|1.2|jhapa|1|provincial|१(ख)|1.2|2022-09-14 19:10:58|2022-09-14 19:10:58
20|2.1|jhapa|1|provincial|२(क)|2.1|2022-09-14 19:10:58|2022-09-14 19:10:58
21|2.2|jhapa|1|provincial|२(ख)|2.2|2022-09-14 19:10:58|2022-09-14 19:10:58
22|3.1|jhapa|1|provincial|३(क)|3.1|2022-09-14 19:10:58|2022-09-14 19:10:58
23|3.2|jhapa|1|provincial|३(ख)|3.2|2022-09-14 19:10:58|2022-09-14 19:10:58
24|4.1|jhapa|1|provincial|४(क)|4.1|2022-09-14 19:10:58|2022-09-14 19:10:58
25|4.2|jhapa|1|provincial|४(ख)|4.2|2022-09-14 19:10:58|2022-09-14 19:10:58
26|5.1|jhapa|1|provincial|५(क)|5.1|2022-09-14 19:10:58|2022-09-14 19:10:58
27|5.2|jhapa|1|provincial|५(ख)|5.2|2022-09-14 19:10:58|2022-09-14 19:10:58
28|1|morang|1|federal|१|1|2022-09-14 19:10:58|2022-09-14 19:10:58
29|2|morang|1|federal|२|2|2022-09-14 19:10:58|2022-09-14 19:10:58
30|3|morang|1|federal|३|3|2022-09-14 19:10:58|2022-09-14 19:10:58
31|4|morang|1|federal|४|4|2022-09-14 19:10:58|2022-09-14 19:10:58
32|5|morang|1|federal|५|5|2022-09-14 19:10:58|2022-09-14 19:10:58
33|6|morang|1|federal|६|6|2022-09-14 19:10:58|2022-09-14 19:10:58
34|1.1|morang|1|provincial|१(क)|1.1|2022-09-14 19:10:58|2022-09-14 19:10:58
35|1.2|morang|1|provincial|१(ख)|1.2|2022-09-14 19:10:58|2022-09-14 19:10:58
36|2.1|morang|1|provincial|२(क)|2.1|2022-09-14 19:10:58|2022-09-14 19:10:58
